      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2014-01-30 00:55:25,    494,      62.47,           0,       0.63,        7.91,        0.00,        4.95,     494,      29
2014-01-30 00:58:08,      0,       5.47,           0,        inf,        0.00,        0.00,       14.52,     237,     237
2014-01-30 00:58:42,      0,       2.40,           0,        inf,        0.00,        0.00,       13.92,      97,      97
2014-01-30 00:58:47,      0,       1.14,           0,        inf,        0.00,        0.00,       13.85,    1038,    1038
2014-01-30 00:59:42,    196,       8.98,           0,       0.66,       21.84,        0.00,       14.44,     196,       0
2014-01-30 01:06:11,    500,      25.32,           0,       0.62,       19.74,        0.00,       12.18,     500,      14
2014-01-30 01:08:51,   1678,      89.24,           8,       0.78,       18.80,        0.09,       14.65,    1678,       0
2014-01-30 01:11:00,    500,      89.49,           0,       2.44,        5.59,        0.00,       13.61,     500,      14
2014-01-30 01:11:21,     70,      11.46,           0,       2.20,        6.11,        0.00,       13.45,      70,       0
2014-01-30 01:12:28,    365,      59.75,           0,       2.41,        6.11,        0.00,       14.71,     365,       0
2014-01-30 01:13:24,    500,      26.55,           0,       0.66,       18.83,        0.00,       12.51,     500,      14
2014-01-30 01:14:46,    500,      28.43,           0,       0.69,       17.59,        0.00,       12.22,     500,      14
